RNUM,MEDIATITLE,PLACENAME,ADDRESS
11017,오월의 청춘,합천 영상 테마파크,경상남도 합천군 용주면 합천호수로 757
11018,오월의 청춘,가실성당,경상북도 칠곡군 왜관읍 가실1길 1
11019,오월의 청춘,쎄라비음악다방,대구광역시 중구 국채보상로102길 60
11020,오월의 청춘,대전 삼성동 집,대전광역시 동구 솔랑5길 36
11025,오월의 청춘,부강성당,세종특별자치시 부강면 부강4길 33
11026,오월의 청춘,순천드라마촬영장,전라남도 순천시 비례골길 24
11027,오월의 청춘,남원랜드,전라북도 남원시 양림길 58-13
11028,오월의 청춘,제이딘주얼리,전라북도 전주시 완산구 전라감영4길 19
11065,옥탑방 왕세자,광한루원,전라북도 남원시 요천로 1447
11066,옥탑방 왕세자,마이산탑사,전라북도 진안군 마령면 마이산남로 367
11084,옷소매 붉은 끝동,보성열화정,전라남도 보성군 득량면 오봉리
11085,옷소매 붉은 끝동,광한루원,전라북도 남원시 요천로 1447
11086,옷소매 붉은 끝동,옥정호 구절초테마공원,전라북도 정읍시 산내면 매죽리 571
11087,옷소매 붉은 끝동,문헌서원,충청남도 서천군 기산면 서원로172번길 66
11109,왕은 사랑한다,나주영상테마파크,전라남도 나주시 공산면 덕음로 450
11110,왕은 사랑한다,성흥산 사랑나무,충청남도 부여군 임천면 성흥로97번길 167
11114,왕이 된 남자,황매산,경상남도 산청군 차황면 법평리 산 1
11115,왕이 된 남자,문경새재촬영장 (오픈세트장),경상북도 문경시 문경읍 새재로 1037
11117,왕이 된 남자,성흥산 사랑나무,충청남도 부여군 임천면 성흥로97번길 167
11118,왜 오수재인가,강남1984,강원도 춘천시 남춘로36번길 8
11124,왜 오수재인가,계명대학교 대명캠퍼스,대구광역시 남구 명덕로 104
11148,왜 오수재인가,익산 교도소 세트장,전라북도 익산시 성당면 함낭로 207
11164,"우리, 사랑했을까",전주대학교,전라북도 전주시 완산구 천잠로 303
11190,우리는 오늘부터,헌화로드라이브코스,강원도 강릉시 강동면 심곡리 헌화로
11191,우리는 오늘부터,죽림동성당,강원도 춘천시 약사고개길 23
11197,우리들의 블루스,모슬포중앙시장,제주특별자치도 서귀포시 대정읍 영서중로13번길 9-8
11198,우리들의 블루스,월대천,제주특별자치도 제주시 내도동 898
11199,우리들의 블루스,말로,제주특별자치도 제주시 조천읍 남조로 1785-12
11200,우리들의 블루스,신두리 해수욕장,충청남도 태안군 원북면 신두해변길 201-54
11222,우아한 가,장흥교도소 세트장,전라남도 장흥군 장흥읍 원도리 191
11242,운명과 분노,광안대교,부산광역시 수영구 민락동 광안대교
11243,운명과 분노,부산 해운대구 민가,부산광역시 해운대구 청사포로58번길 82-17
11256,운명처럼 널 사랑해,곤리도,경상남도 통영시 산양읍 곤리리 174-16
11275,원 더 우먼,별마로천문대,강원도 영월군 영월읍 천문대길 397
11287,원 더 우먼,대전근현대사전시관,대전광역시 중구 중앙로 101
11298,원 더 우먼,선문대학교 아산캠퍼스,충청남도 아산시 탕정면 선문로221번길 70
11299,원티드,휘게비엔씨,강원도 강릉시 주문진읍 신리천로 318-24
11300,월간 집,헌화로드라이브코스,강원도 강릉시 강동면 심곡리 헌화로
11301,월간 집,유리트리트,강원도 홍천군 서면 한서로 1468-55
11315,월간 집,황리단길,경상북도 경주시 태종로 746
11430,유미의 세포들,엄마손막국수,강원도 강릉시 운정길 40
11431,유미의 세포들,스카이베이호텔 경포,강원도 강릉시 해안로 476
11432,유미의 세포들,죽림동성당,강원도 춘천시 약사고개길 23
11452,유미의 세포들,카페 인어,제주특별자치도 제주시 한림읍 한림해안로 584
11453,유미의 세포들,연산역 호남선,충청남도 논산시 연산면 선비로275번길 31-2
11454,유미의 세포들,제일반점,충청남도 부여군 초촌면 초촌로6번길 13
11465,유미의 세포들 2,제주국제공항,제주특별자치도 제주시 공항로 2
11476,으라차차 와이키키,유리트리트,강원도 홍천군 서면 한서로 1468-55
11485,으라차차 와이키키,마산종합운동장 야구장,경상남도 창원시 마산회원구 삼호로 63
11512,응답하라 1988,경주신문왕릉,경상북도 경주시 배반동 453-1
11513,응답하라 1988,동궁과 월지,경상북도 경주시 원화로 102
11514,응답하라 1988,경주역,경상북도 경주시 원화로 266
11515,응답하라 1988,경주 동부 사적지대,경상북도 경주시 황남동 111-2
11528,응답하라 1988,얄개분식,충청남도 서산시 해미면 읍성마을4길 24
11553,이리와 안아줘,이월드,대구광역시 달서구 두류공원로 200
11555,이리와 안아줘,장흥교도소 세트장,전라남도 장흥군 장흥읍 원도리 191
11611,이번 생은 처음이라,신전리 방파제,전라남도 고흥군 금산면 신전리
11617,이브,합천 영상 테마파크,경상남도 합천군 용주면 합천호수로 757
11619,이브,베어트리파크,세종특별자치시 전동면 신송로 217
11647,이웃집 꽃미남,동산포해변 야영장,강원도 양양군 현남면 동산리 90-35
11706,이판사판,익산 교도소 세트장,전라북도 익산시 성당면 함낭로 207
11737,인간수업,반야사,충청남도 논산시 가야곡면 삼전길 104
