RNUM,MEDIATITLE,PLACENAME,ADDRESS
913,검법남녀,가산디지털단지역,"서울특별시 금천구 벚꽃로 309"
914,검법남녀,여의도따로국밥,"서울특별시 영등포구 여의대방로69길 28"
915,검법남녀,서강대교,"서울특별시 영등포구 여의도동 서강대교"
916,검법남녀,"서강껍데기 이촌점","서울특별시 용산구 이촌로 9"
917,검법남녀,이태원시장,"서울특별시 용산구 이태원로14길 6"
918,검법남녀,남대문실탄사격장,"서울특별시 중구 남대문시장길 25-8, 4층"
919,검법남녀,성심미용실,"인천광역시 강화군 내가면 강화서로 226-2"
920,검법남녀,경인종합상가,"인천광역시 남구 경인로 392"
921,검법남녀,"오크우드프리미어 인천","인천광역시 연수구 컨벤시아대로 165"
922,검법남녀,"흑백사진관 우리","인천광역시 중구 신포로27번길 101"
923,검법남녀,일해냉동,"인천광역시 중구 연안부두로 24-1"
924,검법남녀,인천수협가공물류센터,"인천광역시 중구 축항대로22번길 39"
925,"검법남녀 2",가톨릭관동대학교,"강원도 강릉시 범일로579번길 24"
926,"검법남녀 2",라이크라이크,"경기도 고양시 일산동구 무궁화로 8-19 삼라 마이다스빌2 101호"
927,"검법남녀 2",마두역,"경기도 고양시 일산동구 장백로 194"
928,"검법남녀 2","금호아시아나 인재개발원","경기도 용인시 처인구 양지면 양대로 387"
929,"검법남녀 2",용인휴게소,"경기도 용인시 처인구 주북로 66-14"
930,"검법남녀 2",대웅경영개발원,"경기도 용인시 처인구 포곡읍 두계로 72"
931,"검법남녀 2",부용대,"경상북도 안동시 풍천면 광덕솔밭길 72"
932,"검법남녀 2","YTN 뉴스퀘어","서울특별시 마포구 상암산로 76"
933,"검법남녀 2","MBC문화방송 본사","서울특별시 마포구 성암로 267"
934,"검법남녀 2",이대역,"서울특별시 마포구 신촌로 180"
935,"검법남녀 2",DMC이안오피스텔,"서울특별시 마포구 월드컵북로 361"
936,"검법남녀 2",DMC문화공원,"서울특별시 마포구 월드컵북로 366"
937,"검법남녀 2",서울중앙지방법원,"서울특별시 서초구 서초중앙로 157"
938,"검법남녀 2",마포대교,"서울특별시 영등포구 여의도동 84-5"
939,"검법남녀 2",동작대교,"서울특별시 용산구 이촌동 동작대교"
940,"검법남녀 2",광화문역,"서울특별시 종로구 세종로 1-80"
941,"검법남녀 2",용현1.4동,"인천광역시 미추홀구 수봉남로18번길 81-22"
942,"검사 프린세스",팍스타워,"서울특별시 강남구 언주로 609"
943,"검사 프린세스","오스테리아 꼬또 압구정점","서울특별시 강남구 언주로 835"
944,"검사 프린세스",여의서로,"서울특별시 영등포구 여의도동"
945,"검사 프린세스",이태원랜드,"서울특별시 용산구 우사단로14길 34"
946,"검사 프린세스","운현궁 양관","서울특별시 종로구 삼일대로 460"
947,"검사 프린세스","서울 평창동 맨션 537-14","서울특별시 종로구 평창5길 41"
953,"검색어를 입력하세요 WWW",등명해변,"강원도 강릉시 강동면 정동진리 440-7"
954,"검색어를 입력하세요 WWW",무아레478&F1,"경기도 가평군 청평면 북한강로 1619"
955,"검색어를 입력하세요 WWW",농협대학교,"경기도 고양시 덕양구 서삼릉길 281"
956,"검색어를 입력하세요 WWW","동국대학교 일산 바이오메디융합캠퍼스","경기도 고양시 일산동구 경기도 동국로 32"
957,"검색어를 입력하세요 WWW",오릴리도넛,"경기도 고양시 일산동구 산두로 215"
958,"검색어를 입력하세요 WWW",일산로,"경기도 고양시 일산서구 일산로725번길 5-7"
959,"검색어를 입력하세요 WWW",킨텍스,"경기도 고양시 일산서구 킨텍스로 217-60"
960,"검색어를 입력하세요 WWW",원마운트,"경기도 고양시 일산서구 한류월드로 300"
961,"검색어를 입력하세요 WWW",금토천교,"경기도 성남시 분당구 대왕판교로645번길"
962,"검색어를 입력하세요 WWW",수원아이파크시티,"경기도 수원시 권선구 동수원로145번길 23"
963,"검색어를 입력하세요 WWW",광교호수공원,"경기도 수원시 영통구 광교호수로 57"
964,"검색어를 입력하세요 WWW",영복여자고등학교,"경기도 수원시 팔달구 장안로7번길 49-1"
965,"검색어를 입력하세요 WWW","에버랜드 스피드웨이","경기도 용인시 처인구 포곡읍 에버랜드로 199"
966,"검색어를 입력하세요 WWW",와우정사,"경기도 용인시 처인구 해곡로 25-15"
967,"검색어를 입력하세요 WWW","동패동 1720-1","경기도 파주시 금낭화길 41"
968,"검색어를 입력하세요 WWW",플럼라인,"경기도 파주시 문발로 165"
969,"검색어를 입력하세요 WWW",삼호뮤직,"경기도 파주시 문발로 175"
970,"검색어를 입력하세요 WWW","더티 트렁크","경기도 파주시 지목로 114"
971,"검색어를 입력하세요 WWW","경기영어마을 파주캠퍼스","경기도 파주시 탄현면 얼음실로 40"
972,"검색어를 입력하세요 WWW",파주동화경모공원,"경기도 파주시 탄현면 헤이리로 98"
973,"검색어를 입력하세요 WWW",뜨인돌출판사,"경기도 파주시 회동길 337-9"
974,"검색어를 입력하세요 WWW",아트갤러리카페,"경기도 파주시 회동길 445-2"
975,"검색어를 입력하세요 WWW",동탄국제고등학교,"경기도 화성시 동탄나루로 27"
976,"검색어를 입력하세요 WWW","골프존 조이마루","대전광역시 유성구 엑스포로97번길 40"
977,"검색어를 입력하세요 WWW",청와대,"서울 종로구 청와대로 1"
978,"검색어를 입력하세요 WWW","어거스트 힐","서울특별시 강남구 강남대로106길 25"
979,"검색어를 입력하세요 WWW","이구펍 4호점/29펍 4호점","서울특별시 강남구 강남대로110길 14"
980,"검색어를 입력하세요 WWW",그랜드힐컨벤션,"서울특별시 강남구 대치2동 역삼로 607"
981,"검색어를 입력하세요 WWW","오아시스마켓 서초점","서울특별시 서초구 사임당로 157"
982,"검색어를 입력하세요 WWW",강변북로,"서울특별시 성동구 옥수동 86"
983,"검색어를 입력하세요 WWW","롯데월드타워 아쿠아리움","서울특별시 송파구 올림픽로 300 롯데월드몰 B1"
984,"검색어를 입력하세요 WWW","롯데월드타워 아쿠아리움","서울특별시 송파구 올림픽로 300 롯데월드몰 B1"
985,"검색어를 입력하세요 WWW",영산아트홀,"서울특별시 영등포구 여의공원로 101 지하2층"
986,"검색어를 입력하세요 WWW",마포대교,"서울특별시 영등포구 여의도동 84-5"
987,"검색어를 입력하세요 WWW",동작대교,"서울특별시 용산구 이촌동 동작대교"
988,"검색어를 입력하세요 WWW",아이파크몰,"서울특별시 용산구 한강대로23길 55"
989,"검색어를 입력하세요 WWW",아이즈빌아울렛,"인천광역시 부평구 마장로 489"
990,"검색어를 입력하세요 WWW",국제업무지구역,"인천광역시 연수구 인천타워대로 334"
991,"검색어를 입력하세요 WWW","타니스 송도점","인천광역시 연수구 컨벤시아대로 50 송도월드마크푸르지오1단지상가 2층"
992,"검색어를 입력하세요 WWW",인천국제공항,"인천광역시 중구 공항로 272"
993,"검색어를 입력하세요 WWW","맹꽁이 오락실","전라북도 전주시 완산구 동문길 6"
994,"검색어를 입력하세요 WWW","플뢰르 카페","전라북도 전주시 완산구 현무2길 14-23"
995,"검색어를 입력하세요 WWW","호서대학교 아산캠퍼스","충청남도 아산시 배방읍 호서로79번길 20"
1004,"검은 태양",행주산성공원,"경기도 고양시 덕양구 행주외동 140-8"
1005,"검은 태양","서울마리나 클럽&요트","서울특별시 영등포구 여의서로 160"
1006,"검은 태양","JW메리어트 동대문스퀘어서울","서울특별시 종로구 청계천로 279"
1007,"검은 태양",서울디자인재단,"서울특별시 중구 을지로 281"
1008,겨울연가,추암해수욕장,"강원도 동해시 촛대바위길 2"
1009,겨울연가,"춘천 기와집골 마을","강원도 춘천시 기와집길31번길 2"
1010,겨울연가,남이섬,"강원도 춘천시 남산면 남이섬길 1"
1011,겨울연가,"외도 보타니아","경상남도 거제시 일운면 외도길 17"
1012,겨울연가,서강대교,"서울특별시 영등포구 여의도동 서강대교"
1013,겨울연가,후암동성당,"서울특별시 용산구 후암로34길 21-8"
1014,겨울연가,"마로니에 공원","서울특별시 종로구 대학로 104"
1015,겨울연가,중앙고등학교,"서울특별시 종로구 창덕궁길 164"
1016,겨울연가,더플라자,"서울특별시 중구 소공로 119"
1017,결혼계약,서울중앙지방법원,"서울특별시 서초구 서초중앙로 157"
1018,결혼백서,더리버,"서울특별시 용산구 용산동6가 451"
1019,결혼백서,"경원재 앰배서더 인천","인천광역시 연수구 테크노파크로 200"
1020,"결혼의 여신","양평 두물머리","경기도 양평군 양서면 양수리"
1021,"결혼의 여신",제주국제공항,"제주특별자치도 제주시 공항로 2"
1022,"결혼작사 이혼작곡","경기영어마을 파주캠퍼스","경기도 파주시 탄현면 얼음실로 40"
1023,"결혼작사 이혼작곡",하우스에딘브로우,"서울특별시 강남구 학동로59길 43"
1024,"경우의 수",헌화로드라이브코스,"강원도 강릉시 강동면 심곡리 헌화로"
1025,"경우의 수","은석교사거리 정류장","경기도 파주시 문발동 은석교사거리 정류장"
1026,"경우의 수","경기영어마을 파주캠퍼스","경기도 파주시 탄현면 얼음실로 40"
1027,"경우의 수",파머스테이블,"경기도 파주시 탄현면 헤이리마을길 59-77"
1028,"경우의 수",화이트블럭,"경기도 파주시 탄현면 헤이리마을길 72"
1029,"경우의 수",청려수련원,"경기도 화성시 풀무골로110번길 69"
1030,"경우의 수","울프강 스테이크 하우스","서울특별시 강남구 선릉로152길 21"
1031,"경우의 수","퀸즈파크 청담점","서울특별시 강남구 압구정로60길 22"
1032,"경우의 수",방화대교,"서울특별시 강서구 방화동 방화대교"
1033,"경우의 수",C156,"서울특별시 광진구 동일로 156"
1034,"경우의 수",동교로46길,"서울특별시 마포구 동교로46길"
1035,"경우의 수",가온문화공원,"서울특별시 마포구 상암동 1594"
1036,"경우의 수",성미산로26길,"서울특별시 마포구 성미산로26길 35"
1037,"경우의 수",성미산로29길,"서울특별시 마포구 성미산로29길 3"
1038,"경우의 수",엘리카메라,"서울특별시 마포구 성미산로29길 30-3 102호"
1039,"경우의 수",홍대입구역,"서울특별시 마포구 양화로 160 홍대입구역"
1040,"경우의 수",어울마당로,"서울특별시 마포구 어울마당로"
1041,"경우의 수",야식포차,"서울특별시 서대문구 성산로 337"
1042,"경우의 수",디토,"서울특별시 서초구 명달로 94"
