mediatitle,place_name,address,positive_ratio,latitude,longitude
사이코지만 괜찮아,사니다카페,강원도 원주시 호저면 칠봉로 109-128,0.3888888888888889,37.406814,127.91437
사이코지만 괜찮아,옥정호,전라북도 임실군 운암면 운종리 473-9,1.0,35.602023,127.11288
"사임당, 빛의 일기",하슬라아트월드,강원도 강릉시 강동면 율곡로 1441,0.6363636363636364,37.706127,129.00911
구경이,동피랑 벽화마을,경상남도 통영시 동피랑1길 6-18,0.7692307692307693,34.845641,128.427523
겨울연가,남이섬,강원도 춘천시 남산면 남이섬길 1,0.6666666666666666,37.789935,127.52581
세상에서 제일 예쁜 내 딸,거례리 사랑나무,강원도 화천군 하남면 거례리 484-2,1.0,38.07271,127.6875
쇼핑왕 루이,천마산에코하우스,부산광역시 서구 천마산로 342,1.0,35.09609,129.0174
땐뽀걸즈,광안리해수욕장,부산광역시 수영구 광안해변로 219,1.0,35.153308,129.118862
쇼핑왕 루이,보수동 책방 골목,부산광역시 중구 대청로 67-1,0.8666666666666667,35.10332,129.026803
쇼핑왕 루이,동백섬,부산광역시 해운대구 동백로 99,0.7857142857142857,35.154498,129.152555
군검사 도베르만,익산 교도소 세트장,전라북도 익산시 성당면 함낭로 207,0.8333333333333334,36.069334,126.93158
스물다섯 스물하나,경주역,경상북도 경주시 원화로 266,0.5555555555555556,35.844454,129.21787
스물다섯 스물하나,한벽굴,전라북도 전주시 완산구 교동,1.0,35.8118781,127.1608628
스물다섯 스물하나,맹꽁이 오락실,전라북도 전주시 완산구 동문길 6,1.0,35.8195707,127.153426
스카이캐슬,소노펠리체 빌리지 비발디파크,강원도 홍천군 서면 한치골길 541-123,0.9166666666666666,37.665888,127.68403
스토브리그,대가야문화누리,경상북도 고령군 대가야읍 왕릉로 30,1.0,35.723602,128.26315
시간,파크 하얏트 부산,부산광역시 해운대구 마린시티1로 51,0.7368421052631579,35.15657,129.1419
남자친구,심곡항,강원도 강릉시 강동면 심곡리 157-1,0.6,37.665245,129.053082
시그널,빨차카페,강원도 강릉시 옥계면 헌화로 217,0.8666666666666667,37.634838,129.044795
군검사 도베르만,익산 교도소 세트장,전라북도 익산시 성당면 함낭로 207,0.8333333333333334,36.069334,126.93158
시그널,국립법무병원,충청남도 공주시 반포면 봉곡리 반포초교길 253,0.2,36.412694,127.2387
시지프스: the myth,벡스코,부산광역시 해운대구 APEC로 55,0.8571428571428571,35.1688706,129.135456
미남이시네요,공세리성당,충청남도 아산시 인주면 공세리성당길 10,0.8888888888888888,36.883404,126.914041
나빌레라,합천 영상 테마파크,경상남도 합천군 용주면 합천호수로 757,0.75,35.5489346,128.072475
궁,씨에스호텔앤리조트,제주특별자치도 서귀포시 중문관광로 196,0.6470588235294118,33.243147,126.42002
마이 걸,롯데호텔 제주,제주특별자치도 서귀포시 중문관광로72번길 35,0.875,33.2483112,126.410594
마이 시크릿 호텔,포레스트 리솜,충청북도 제천시 백운면 금봉로 365,0.8125,37.15796,128.04624
시크릿 가든,사려니 숲길,제주특별자치도 제주시 조천읍 교래리 산 137-1,0.9166666666666666,33.423076,126.626845
미스터 션샤인,운보의 집,충청북도 청주시 청원구 내수읍 형동2길 92-41,0.4615384615384615,36.692197,127.5651
땐뽀걸즈,광안리해수욕장,부산광역시 수영구 광안해변로 219,1.0,35.153308,129.118862
신데렐라와 네 명의 기사,대관령 양떼목장,강원도 평창군 대관령면 대관령마루길 483-32,1.0,37.689736,128.753045
맨투맨,사우스케이프오너스클럽,경상남도 남해군 창선면 흥선로 1545,0.6153846153846154,34.836501,128.07449
신데렐라와 네 명의 기사,각원사,충청남도 천안시 동남구 각원사길 245,0.8421052631578947,36.83441,127.1968
간택 - 여인들의 전쟁,광한루원,전라북도 남원시 요천로 1447,1.0,35.403918,127.379758
군검사 도베르만,익산 교도소 세트장,전라북도 익산시 성당면 함낭로 207,0.8333333333333334,36.069334,126.93158
쌈 마이웨이,호천문화플랫폼,부산광역시 부산진구 엄광로 491,0.8571428571428571,35.144303,129.051203
쌍갑포차,고석정,강원도 철원군 동송읍 태봉로 1825,0.6923076923076923,38.186301,127.287536
