drama,review
몬스터,노래 하나 믿고
몬스터,"다소 평범하지만, 유머러스한 묘사가 나쁘지 않은 애니메이션"
무법 변호사,재밌어요.
무법 변호사,복습복습복습
무법 변호사,끝) 왜 봤지..
무브 투 헤븐 : 나는 유품정리사입니다,신선함이 익숙함으로 변하는 매직
미남이시네요,"소소한 일상을 보여주며 결국 교훈을 주는, <그렇게 일드는 위로가 된다>"
미남이시네요,아 개웃겨
미남이시네요,깔끔하고 재미있고 다정하고❤️
미남이시네요,일상에서 느낄수있는 감정들에 대한 개그적 교훈!! 최고
미래의 선택,첨엔 좋았는데..
미래의 선택,신선한것뿐
미스터 기간제,보고싶어여
미스터 션샤인,저 또한 즐거운 소풍이였습니다.
미스터 션샤인,낭만에 취한 줄 아는 자아도취
미스티,물 속에 빨려들어가는 기분.
미안하다 사랑한다,<지95락실-3> 보고 넘어온 사람들의 모임 🙌🏻
바람의 화원,기억나는 게 많은 영상과 관계성이 좋았다
발칙하게 고고,나도 저 들속으로  들어가서  미치고싶다
발칙하게 고고,생생하고 신나는 사운드를 영화에서 만날수 있는 기쁨
발칙하게 고고,우리에겐 놀 자유가 있습니다.
밥 잘 사주는 예쁜 누나,해인이 보는 즐거움을 느끼는 정도
밥 잘 사주는 예쁜 누나,TV에 빠져들어가는 줄 알았다.
밥 잘 사주는 예쁜 누나,웰메이드인척하는
밥 잘 사주는 예쁜 누나,초반의 설렘만 좋았다.
백일의 낭군님,생각보다 재밌게 봤다
백일의 낭군님,디오에빠졌다😘
백일의 낭군님,재밌긴한데 오글거려 죽는줄 ㅎㅎ
별똥별,가벼워서 존잼.
별똥별,스토리를 떠나 배우들의 케미가 좋아서 괜히 기분 좋아지는 드라마
별똥별,재밌는것 같아요
별똥별,아주 가볍게 보기 좋은 힐링 드라마~ 간만에 웃으면서 보기 편했다요😌
별똥별,넘넘 재미땨 남주 연기빼고
별똥별,유치하고 몽글몽글하구.
별에서 온 그대,그래도 재미있었어.
별에서 온 그대,다시 봐도 설레는 작품
별에서 온 그대,사랑입니다
병원선,첫회는 괜찮았다...
병원선,아내의 유혹 챙겨봤던 사람들 기분을 조금은 알꺼같아
보좌관,뭉클하다
복수가 돌아왔다,스토리는 그저그런데 배우얼굴합이 레전드임 얼굴보는 재미에 너무재밌게 봤다
복수가 돌아왔다,복수야.. 다시 돌아가
복수가 돌아왔다,나만 재밌어? 나만 재밌냐구
복수가 돌아왔다,여러모로 아무튼 웃김
복수가 돌아왔다,얼굴이 다했다
부부의 세계,잔뜩 힘 줘서 멋부리기
부암동 복수자들,현재까지 너무 재미있어 미치겠다 ㅠㅠ
부암동 복수자들,매주 유쾌하고 통쾌하다. 현재 삶의 락.
부암동 복수자들,유쾌상쾌통쾌
부암동 복수자들,유쾌했다
부암동 복수자들,"이런 유쾌, 상쾌, 통쾌한 드라마 같으니라그😄"
부암동 복수자들,코메디라면 이런것이 좋다.
불가살,현생을 좀 살아라...-_-
뷰티 인사이드,아주 간단한 수식이 아주 더디게 풀리는 과정을 지켜보는 기분
뷰티 인사이드,언행불일치.
뷰티 인사이드,n번의 얼굴과 n개의 표정을 통해 신기할정도로 세밀하게 드러나는 온갖가지 감정의 결. 일단 재미가 있었습니다.
빅마우스,보는 중
빈센조,개연성은 개나 줬지만 통쾌하다.
빈센조,하나도 안 웃긴데 너네끼린 재밌었을까?
빠담빠담…. 그와 그녀의 심장박동소리,드문드문 보이는 오글거림만 잘 견뎌내면 재밌다.
사내맞선,아는 맛이. 제일. 맛있다.....
사내맞선,유치한데 뭔가 계속 보고 싶어...ㅎ
사내맞선,진짜 유치한데 왜케 웃기냐 ㅋㅋ
사내맞선,유치한게 제일 좋아
사내맞선,나는 재미있게 잘 보고 있는데...ㅜㅜ (눈치)
사내맞선,아주 코믹한 2000년대 드라마
사내맞선,유치하고 뻔하지만 재밌었다.
사내맞선,"보고 있다는 걸 숨기고, 재밌게 봤다..."
사내맞선,나 이런게 좋아하네
사랑비,유성영화가 존재함에 감사하게 느껴진다.
사랑비,설레고 신나는거 high인 기획이에요.
사랑의 불시착,재밌기만 하구먼
사랑의 불시착,열심히 정주행중 캐미가 좋더니 .. 사귀는구나 ㅋ
사랑의 온도,대사가 다른 로맨스 드라마와는 약간 다르다. 분위기도 너무 좋고 설렌다
사랑의 온도,서현진...너무좋다
사랑의 온도,진짜 너무 재밌어요
사생활,잡스럽다
사이코지만 괜찮아,두 사람 다 안쓰러운데 멋있다. 엄마는 따뜻했다.
사이코지만 괜찮아,상담을 전공했기에 더 흥미로웠다.
사이코지만 괜찮아,행복해질 용기는 당신에게 있어요.
"사임당, 빛의 일기",오랜만에 보는 진부함에 신선함마저 느껴진다. >_<
"사임당, 빛의 일기",보보...경심...의 기운이 느껴진다...
"사임당, 빛의 일기",진부하게느껴지는 판타지다. 인내심을 가지고  봐야할듯
사춘기 메들리,풋풋해서 귀엽고 설렜다
사춘기 메들리,"청량감 넘치는 ost, 싱그러운 풍경, 풋풋한 주인공들"
사춘기 메들리,나도 저런 설렘좀..
사춘기 메들리,오랜만에 봐도 설레고 따뜻하다
사춘기 메들리,재밌네
사춘기 메들리,떠올리면 기분 좋아지는 드라마. ost가 신의 한수
상속자들,욕하면서보는재미가 쏠쏠하다
상속자들,꽃보다남자보단 덜 오글거림
상속자들,올만에 다시봤는데도 참 재미지다.  20190717
상속자들,영도가 다 했다.
상속자들,영도야 잘지내니
"서른, 아홉","좋은 사람, 좋은 어른, 좋은 친구"
"선배, 그 립스틱 바르지 마요",다른 일 하면서 켜놓기 좋았던 잔잔한 드라마.
"선배, 그 립스틱 바르지 마요",뭐 나름대로 잔잔하게 괜찮았다. 나는 원진아 괜찮더라.
"선배, 그 립스틱 바르지 마요",잔잔하고 평이한 플롯에서 캐릭터가 더 빛나기도 하는 법.
"선배, 그 립스틱 바르지 마요",나 이런게 좋아하네
"선배, 그 립스틱 바르지 마요",로운 얼굴이 정말 재밌다
세상 어디에도 없는 착한남자,그리고 난 다시 신에게 기도한다 고맙습니다 난 지금 행복합니다.
세상에서 제일 예쁜 내 딸,역시나 엄마랑 같이 보면 재밌다
소년심판,머리가 띵하다.
소년심판,오랜만에 몰입했다
소년심판,문제에 대한 균형 잡힌 시선
쇼핑왕 루이,나름 케미 좋네 생각보다 더 좋네 덧. 리트리버가 생각난닼ㅋㅋ 누군지는 보면 알듯
쇼핑왕 루이,사랑스러워
쇼핑왕 루이,보고있으면 절로 미소가 ㅋㅋ
쇼핑왕 루이,한편의 그림책을 본듯한 느낌이다.
쇼핑왕 루이,작가시선이 따스함
쇼핑왕 루이,귀여워
